Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FlowPattern
2.5,0.15,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,0.15,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
2,0.25,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,0.25,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
2,0.4,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,0.62,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,1,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,1.6,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,2.5,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
1.75751,0.02452,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.44205,0.02452,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.50011,0.09198,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.50011,0.15189,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.55955,0.22245,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.74647,0.25576,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.99982,0.5786,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.01711,0.58746,0.001,0.00002,1000,1.8,0.07,15,0.051,0
4.29192,0.91284,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.21442,0.88551,0.001,0.00002,1000,1.8,0.07,15,0.051,0
4.19227,1.52045,0.001,0.00002,1000,1.8,0.07,15,0.051,0
1.75751,0.02415,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.44205,0.02415,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.55955,0.09229,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.55955,0.15189,0.001,0.00002,1000,1.8,0.07,15,0.051,0
